package_manager,name,version,licenses,homepage,approved
Go,go.uber.org/ratelimit,v0.2.0,MIT,"",Approved
Go,go.uber.org/zap,v1.23.0,MIT,"",Approved
Go,golang.org/x/crypto,v0.0.0-20220517005047-85d78b3ac167,New BSD,"",Approved
Go,golang.org/x/mod,v0.6.0-dev.0.20220106191415-9b9b3d81d5e3,New BSD,"",Approved
Go,golang.org/x/net,v0.0.0-20220526153639-5463443f8c37,New BSD,"",Approved
Go,golang.org/x/sync,v0.0.0-20210220032951-036812b2e83c,New BSD,"",Approved
Go,golang.org/x/sys,v0.0.0-20220829200755-d48e67d00261,New BSD,"",Approved
Go,golang.org/x/term,v0.0.0-20220411215600-e5f449aeb171,New BSD,"",Approved
Go,golang.org/x/text,v0.3.7,New BSD,"",Approved
Go,golang.org/x/time,v0.0.0-20220411224347-583f2d630306,New BSD,"",Approved
Go,golang.org/x/xerrors,v0.0.0-20220517211312-f3a8303e98df,New BSD,"",Approved
Go,gonum.org/v1/gonum,v0.11.0,"MIT,New BSD","",Approved
Go,google.golang.org/api,v0.77.0,New BSD,"",Approved
Go,google.golang.org/genproto,v0.0.0-20220502173005-c8bf987b8c21,Apache 2.0,"",Approved
Go,google.golang.org/grpc,v1.48.0,Apache 2.0,"",Approved
Go,google.golang.org/protobuf,v1.28.0,New BSD,"",Approved
Go,gopkg.in/alexcesaro/statsd.v2,v2.0.0,MIT,"",Approved
